c_ClaveProdServ	Descripción
10151532	Semillas o plántulas de ahuyama
10151533	Semillas o plántulas de okra
10151534	Semillas o plántulas de melón cantalupo
10151535	Semillas o plántulas de maní
10151536	Semillas o plántulas de caigua
10151537	Semillas o plántulas de espárrago
10151538	Semillas o plántulas de garbanzo
10151539	Semillas o plántulas de haba
10151600	Semillas de cereales
10151601	Semillas de trigo
10151602	Semillas de canola
10151603	Semillas de cebada
10151604	Semillas de mijo
10151605	Semillas de avena
10151606	Semillas de ajonjolí
10151607	Semillas de linaza
10151608	Semillas de aceite de ricino
10151609	Semillas de maíz
10151610	Semillas de centeno
10151611	Semillas de sorgo
10151612	Semillas o plántulas de kiwicha
10151613	Semillas o plántulas de quínoa
10151700	Semillas y plántulas de hierba y forraje
10151701	Semillas o plántulas de arroz
10151702	Semillas o plántulas de trébol
10151703	Semillas o plántulas de alfalfa
10151704	Semillas o plántulas de pasto
10151705	Semillas o plántulas de veza (gachas / guija)
10151706	Semillas o plántulas de guar
10151800	Semillas y plántulas de especias
10151801	Semillas o plántulas de pimienta
10151802	Semillas o plántulas de vainilla
10151803	Semillas o plántulas de canela
10151804	Semillas o plántulas de clavo de olor
10151805	Semillas o plántulas de cilantro
10151806	Semillas o plántulas de jengibre
10151807	Semillas o plántulas de azafrán
10151808	Semillas o plántulas de tomillo
10151809	Semillas o plántulas de curry
10151810	Semillas o plántulas de mostaza
10151811	Semillas o plántulas de ginseng
10151812	Semillas o plántulas de champiñones
10151813	Semillas o plántulas de sacha inchi
10151814	Semillas o plántulas de achiote
10151815	Semillas o plántulas de kudzu
10151816	Semillas o plántulas de albahaca
10151817	Semillas o plántulas de anís
10151900	Semillas, bulbos, plántulas y esquejes de flores
10151901	Semillas, bulbos, plántulas o esquejes de tulipán
10151902	Semillas, plántulas o esquejes de rosa
10151903	Semillas, bulbos, plántulas o esquejes de narciso
10151904	Semillas de girasol
10151905	Bulbos o tallos de jacinto
10151906	Bulbos de lirio
10151907	Semillas o plántulas de veza
10152000	Semillas y esquejes de árboles y arbustos
10152001	Semillas o esquejes de árboles frutales
10152002	Semillas o esquejes de coníferas
10152003	Semillas o esquejes de árboles de frutos secos
10152004	Plántulas de latifoliados
10152005	Plántulas de coníferas
10152006	Semillas o yemas de pino
10152007	Semillas o yemas de algarrobo
10152100	Residuos que no sean de piensos
10152101	Extracción de los residuos de semilla de babool
10152102	Residuos de semilla de colza
10152103	Residuo de semillas de linaza
10152104	Torta de neem
10152200	Semillas de cultivos fibrosos y semilleros
10152201	Semillas o plántulas de algodón
10152202	Semillas o plántulas de lino
10152300	Plántulas y semillas de leguminosas
10152400	Plántulas y semillas de tubérculos
10161500	Árboles y arbustos
10161501	Aceitunos
10161502	Cafetos
10161503	Cacaoteros
10161504	Manzanos
10161505	Peros
10161506	Naranjos
10161507	Rododendros
10161508	Plantas de te
10161509	Coníferas
10161510	Abetos rojos (píceas)
10161511	Pinos
10161512	Abetos
10161513	Palmeras
10161514	Casuarina
10161515	Ciprés
10161516	Eucalipto
10161517	Árbol de quinua
10161518	Magnolio
10161519	Mioporo
10161520	Acalifa
10161521	Tecomaria capensis o madreselva del cabo
10161522	Arbusto croton bolaina
10161523	Abutillón
10161524	Ficus
10161525	Lúcumo
10161526	Aguacatal
10161527	Guanábano
10161528	Carambolo
10161529	Ciruelo
10161530	Árbol de quince
10161600	Plantas florales
10161602	Poinsettias
10161604	Azaleas
10161605	Cactos
10161606	Ageratum púrpura
10161800	Plantas sin flor
10161801	Helechos
10161802	Hiedras
10161803	Filodendros
10161804	Líquenes
10161805	Vides
10161900	Productos florales secos
10161901	Vainas secas
10161902	Follaje seco
10161903	Helechos secos
10161905	Ramas y tallos secos
10161906	Penachos de gramíneas secos
10161907	Flores secas prensadas
10161908	Pétalos secos
10171500	Abonos orgánicos y nutrientes para plantas
10171501	Estiércol o guano
10171502	Hormonas para plantas
10171503	Harina de pescado
10171504	Abono
10171505	Nutriente foliar
10171506	Humus
10171600	Abonos químicos y nutrientes para plantas
10171601	Fertilizante nitrogenado
10171602	Fertilizante de potasio
10171603	Fertilizante de fósforo
10171604	Fertilizante de sulfuro
10171605	Mezclas de nitrógeno – fósforo – potasio – npk
10171606	Fertilizarte de sílice puro
10171607	Fertilizante con magnesio
10171608	Fertilizante micro elemento
10171609	Fertilizante fosfato de sílice
10171610	Fertilizante potasio de sílice
10171611	Fertilizante de calcio
10171700	Herbicidas
10171701	Matamalezas
10171702	Fungicidas
10171800	Acondicionadores de suelos
10171801	Acondicionador orgánico de suelos
10171802	Acondicionador inorgánico de suelos
10191500	Pesticidas o repelentes de plagas
10191506	Mata – roedores
10191507	Repelentes de aves
10191508	Protectores contra termitas
10191509	Insecticidas
10191510	Abamectina
10191511	Fipronil
10191700	Dispositivos para control de plagas
10191701	Trampas para control animal
10191703	Trampas para el control de insectos voladores
10191704	Matamoscas
10191705	Lazos
10191706	Cepos
10191707	Repelente ultrasónico de pestes
10201500	Rosales vivos azules o lavanda o púrpura
10201501	Rosal vivo allure o sterling 95
10201502	Rosal vivo amnesia
10201503	Rosal vivo augusta louise
10201504	Rosal vivo avant garde
10201505	Rosal vivo blue bird
10201506	Rosal vivo curiosa
10201507	Rosal vivo cool water
10201508	Rosal vivo delilah
10201509	Rosal vivo double party
10201510	Rosal vivo faith
10201511	Rosal vivo mami blue o mammy blue
10201512	Rosal vivo marítimo
10201513	Rosal vivo milano
10201514	Rosal vivo mistery
10201515	Rosal vivo ocean song o boyfriend
10201516	Rosal vivo cezanne púrpura
10201517	Rosal vivo purple fragrance
10201518	Rosal vivo sanaa
10201519	Rosal vivo silverstone
10201520	Rosal vivo soulmate
10201521	Rosal vivo stranger
10201522	Rosal vivo tinted blue
10201523	Rosal vivo two faces
10201600	Rosales vivos chocolate o marrón
10201601	Rosal vivo black lava
10201602	Rosal vivo cimarron
10201603	Rosal vivo coffee break
10201604	Rosal vivo estelle
10201605	Rosal vivo gypsy leonidas
10201606	Rosal vivo leonidas
10201607	Rosal vivo matilda
10201608	Rosal vivo sunny leonidas
10201609	Rosal vivo terra nostra
10201610	Rosal vivo terracotta
10201700	Rosales vivos crema
10201701	Rosal vivo advenire
10201702	Rosal vivo alex
10201703	Rosal vivo antique brass
10201704	Rosal vivo aubade
10201705	Rosal vivo beach
10201706	Rosal vivo belle pearl
10201707	Rosal vivo blush de los andes
10201708	Rosal vivo camel
10201709	Rosal vivo caramel antike o caramel antique
10201710	Rosal vivo champagne
10201711	Rosal vivo clear ocean
10201712	Rosal vivo combo
10201713	Rosal vivo creme de la creme
10201714	Rosal vivo emanuella
10201715	Rosal vivo evolution
10201716	Rosal vivo fedora
10201717	Rosal vivo fenice
10201718	Rosal vivo french vanilla
10201719	Rosal vivo hollywood
10201720	Rosal vivo ilios
10201721	Rosal vivo jelena
10201722	Rosal vivo kameleon
10201723	Rosal vivo kentucky
10201724	Rosal vivo kings pride
10201725	Rosal vivo latin fusion
10201726	Rosal vivo lemon dream
10201727	Rosal vivo magic moka
10201728	Rosal vivo mamamia
10201729	Rosal vivo message
10201730	Rosal vivo muneca o munieca
10201731	Rosal vivo parfum de rosas
10201732	Rosal vivo porcelina
10201733	Rosal vivo privilege
10201734	Rosal vivo quicksand
10201735	Rosal vivo rollercoaster
10201736	Rosal vivo romantic curiosa
10201737	Rosal vivo safari
10201738	Rosal vivo sahara
10201739	Rosal vivo sandy femma
10201740	Rosal vivo talea
10201741	Rosal vivo timeless
10201742	Rosal vivo transition
10201743	Rosal vivo trump
10201744	Rosal vivo twin
10201745	Rosal vivo vendela
10201746	Rosal vivo virginia
10201800	Rosales vivos verdes o lima
10201801	Rosal vivo amandine
10201802	Rosal vivo caipirinha
10201803	Rosal vivo green fashion
10201804	Rosal vivo green tea
10201805	Rosal vivo jade
10201806	Rosal vivo limbo
10201807	Rosal vivo limena o limenia
10201808	Rosal vivo limona
10201809	Rosal vivo old dutch
10201810	Rosal vivo super green
10201811	Rosal vivo sweet green
10201812	Rosal vivo viva
10201813	Rosal vivo zazu
10201900	Rosales vivos rosado claro
10201901	Rosal vivo anna
10201902	Rosal vivo bella vita
10201903	Rosal vivo bridal dream
10201904	Rosal vivo candy bianca
10201905	Rosal vivo caress
10201906	Rosal vivo carolina
10201907	Rosal vivo climax
10201908	Rosal vivo danny
10201909	Rosal vivo dolce vita
10201910	Rosal vivo elite
10201911	Rosal vivo emma
10201912	Rosal vivo engagement
10201913	Rosal vivo esther
10201914	Rosal vivo excalibur
10201915	Rosal vivo exciting
10201916	Rosal vivo first lady
10201917	Rosal vivo geraldine
10201918	Rosal vivo gotcha
10201919	Rosal vivo harmonie
10201920	Rosal vivo heaven
10201921	Rosal vivo high and elegant
10201922	Rosal vivo katherine
10201923	Rosal vivo king kong
10201924	Rosal vivo livia
10201925	Rosal vivo lorena
10201926	Rosal vivo lovely
10201927	Rosal vivo maaike
10201928	Rosal vivo marilyn
10201929	Rosal vivo marlise
10201930	Rosal vivo miranda o ausimmon
10201931	Rosal vivo mona lisa
10201932	Rosal vivo nirvana
10201933	Rosal vivo o hara
10201934	Rosal vivo ole
10201935	Rosal vivo olga
10201936	Rosal vivo pacífica
10201937	Rosal vivo party mix
10201938	Rosal vivo peckoubo o pekcoubo
10201939	Rosal vivo phoebe o ausnotice
10201940	Rosal vivo pink farfalla
10201941	Rosal vivo pink finess
10201942	Rosal vivo pink magic
10201943	Rosal vivo pink osiana
10201944	Rosal vivo pretty woman
10201945	Rosal vivo romance
10201946	Rosal vivo romantic antike o antique
10201947	Rosal vivo rosalind o astew
10201948	Rosal vivo rosita vendela
10201949	Rosal vivo secret garden
10201950	Rosal vivo solaire
10201951	Rosal vivo sophie
10201952	Rosal vivo sweet akito
10201953	Rosal vivo sweet avalanche
10201954	Rosal vivo sweet elegance
10201955	Rosal vivo sweet pink
10201956	Rosal vivo titanic
10201957	Rosal vivo toscanini
10201958	Rosal vivo vania
10201959	Rosal vivo vanity
10201960	Rosal vivo vision
10201961	Rosal vivo vivaldi
10201962	Rosal vivo whisper
10202000	Rosales vivos multicolor rosados
10202001	Rosal vivo attracta
10202002	Rosal vivo boheme
10202003	Rosal vivo carousel
10202004	Rosal vivo cezanne
10202005	Rosal vivo crazy one
10202006	Rosal vivo dance valley
10202007	Rosal vivo duett
10202008	Rosal vivo esperance
10202009	Rosal vivo fiesta
10202010	Rosal vivo halloween
10202011	Rosal vivo highlander
10202012	Rosal vivo hot ambiance
10202013	Rosal vivo la belle
10202014	Rosal vivo laguna
10202015	Rosal vivo latin ambiance
10202016	Rosal vivo latin breeze
10202017	Rosal vivo long arifa
10202018	Rosal vivo murano
10202019	Rosal vivo n-joy rose
10202020	Rosal vivo panama
10202021	Rosal vivo peppermint
10202022	Rosal vivo pijama party
10202023	Rosal vivo portofino
10202024	Rosal vivo priceless
10202025	Rosal vivo queen amazon
10202026	Rosal vivo ranuncula
10202027	Rosal vivo rossini
10202028	Rosal vivo sabina o sabrina
10202029	Rosal vivo scandal
10202030	Rosal vivo silvery pink
10202031	Rosal vivo something else
10202032	Rosal vivo soutine
10202033	Rosal vivo sovereign
10202034	Rosal vivo super disco
10202035	Rosal vivo ts 1968
10202036	Rosal vivo variance
10202037	Rosal vivo verdi
10202100	Rosales vivos anaranjados
10202101	Rosal vivo alhambra
10202102	Rosal vivo aloha
10202103	Rosal vivo amber
10202104	Rosal vivo apache
10202105	Rosal vivo arabia
10202106	Rosal vivo bengala
10202107	Rosal vivo bibi
10202108	Rosal vivo caramba
10202109	Rosal vivo caramella
10202110	Rosal vivo carla
10202111	Rosal vivo cartagena
10202112	Rosal vivo chanson
10202113	Rosal vivo charmer
10202114	Rosal vivo cherry brandy
10202115	Rosal vivo chilis
10202116	Rosal vivo cinnamon
10202117	Rosal vivo colandro
10202118	Rosal vivo coral sea
10202119	Rosal vivo corvette o red corvette
10202120	Rosal vivo dark milva
10202121	Rosal vivo donna
10202122	Rosal vivo dreamer
10202123	Rosal vivo el dorado
10202124	Rosal vivo el toro
10202125	Rosal vivo elena
10202126	Rosal vivo ensueño
10202127	Rosal vivo euforia
10202128	Rosal vivo exótica
10202129	Rosal vivo fancy amazon
10202130	Rosal vivo fiction
10202131	Rosal vivo finess
10202132	Rosal vivo flameco
10202133	Rosal vivo free spirit
10202134	Rosal vivo gelato
10202135	Rosal vivo gypsy curiosa
10202136	Rosal vivo high and magic
10202137	Rosal vivo high and orange magic
10202138	Rosal vivo iguana o alegra
10202139	Rosal vivo impulse
10202140	Rosal vivo indian femma
10202141	Rosal vivo indian sunset
10202142	Rosal vivo karusso
10202143	Rosal vivo kerio
10202144	Rosal vivo kiki
10202145	Rosal vivo latin circus
10202146	Rosal vivo leonisa
10202147	Rosal vivo lipstick
10202148	Rosal vivo lobita
10202149	Rosal vivo luca
10202150	Rosal vivo manitou
10202151	Rosal vivo mariana
10202152	Rosal vivo marjan o pk sensation
10202153	Rosal vivo milonga
10202154	Rosal vivo milva
10202155	Rosal vivo miracle
10202156	Rosal vivo mirage
10202157	Rosal vivo monte carlo
10202158	Rosal vivo movie star
10202159	Rosal vivo nikita
10202160	Rosal vivo orange flame
10202161	Rosal vivo orange france
10202162	Rosal vivo orange intuition
10202163	Rosal vivo orange unique
10202164	Rosal vivo orangine u orangina
10202165	Rosal vivo papaya
10202166	Rosal vivo pareo
10202167	Rosal vivo peach sherbet
10202168	Rosal vivo queensday
10202169	Rosal vivo rosselle
10202170	Rosal vivo royal circus
10202171	Rosal vivo sari
10202172	Rosal vivo sensual
10202173	Rosal vivo soap
10202174	Rosal vivo sombrero
10202175	Rosal vivo spicy
10202176	Rosal vivo star 2000
10202177	Rosal vivo summer versilia
10202178	Rosal vivo trixx
10202179	Rosal vivo tropical amazon
10202180	Rosal vivo utopia
10202181	Rosal vivo valentine
10202182	Rosal vivo verano
10202183	Rosal vivo versilia
10202184	Rosal vivo voodoo
10202185	Rosal vivo wow
10202186	Rosal vivo yabadabadoo
10202200	Rosales vivos durazno
10202201	Rosal vivo alejandra
10202202	Rosal vivo azafran
10202203	Rosal vivo big fun
10202204	Rosal vivo cabaret
10202205	Rosal vivo capuccino
10202206	Rosal vivo carpe diem
10202207	Rosal vivo cosima
10202208	Rosal vivo cumbia
10202209	Rosal vivo dream
10202210	Rosal vivo epoca
10202211	Rosal vivo fado
10202212	Rosal vivo femma
10202213	Rosal vivo guajira
10202214	Rosal vivo high and arena
10202215	Rosal vivo high and dandy
10202216	Rosal vivo high and lucky
10202217	Rosal vivo high and peach
10202218	Rosal vivo imagination
10202219	Rosal vivo isis
10202220	Rosal vivo joy o light versilia
10202221	Rosal vivo juliet ausjameson
10202222	Rosal vivo la parisienne
10202223	Rosal vivo la perla
10202224	Rosal vivo lovita sunblaze
10202225	Rosal vivo malilena o marilena
10202226	Rosal vivo monyna
10202227	Rosal vivo nectarine
10202228	Rosal vivo oriental curiosa
10202229	Rosal vivo osiana
10202230	Rosal vivo peach avalanche
10202231	Rosal vivo peach deja vu
10202232	Rosal vivo picanto
10202233	Rosal vivo prima donna
10202234	Rosal vivo sheril
10202235	Rosal vivo sirocco
10202236	Rosal vivo tamara
10202237	Rosal vivo taxo
10202238	Rosal vivo trust
10202239	Rosal vivo valencia
10202240	Rosal vivo vinci
10202241	Rosal vivo wanda
10202300	Rosales vivos rosados
10202301	Rosal vivo aerobic
10202302	Rosal vivo after party
10202303	Rosal vivo amsterdam
10202304	Rosal vivo aqua rose
10202305	Rosal vivo attache
10202306	Rosal vivo attitude
10202307	Rosal vivo ballet
10202308	Rosal vivo belami
10202309	Rosal vivo bella voo o belle vue
10202310	Rosal vivo bling bling
10202311	Rosal vivo blushing akito
10202312	Rosal vivo brooke
10202313	Rosal vivo bugatti
10202314	Rosal vivo cadillac
10202315	Rosal vivo carnaval
10202316	Rosal vivo cereza
10202317	Rosal vivo charming unique
10202318	Rosal vivo cherry o
10202319	Rosal vivo ciciolina
10202320	Rosal vivo classic cezanne
10202321	Rosal vivo clasic duett
10202322	Rosal vivo cosmiq
10202323	Rosal vivo dark engagement
10202324	Rosal vivo daytona
10202325	Rosal vivo dekora
10202326	Rosal vivo dolores
10202327	Rosal vivo eliza
10202328	Rosal vivo flash baccara
10202329	Rosal vivo full house
10202330	Rosal vivo funky
10202331	Rosal vivo giliane
10202332	Rosal vivo gran europe
10202333	Rosal vivo habari
10202334	Rosal vivo hanseat
10202335	Rosal vivo high and amazing
10202336	Rosal vivo high and bonita
10202337	Rosal vivo high and booming
10202338	Rosal vivo high and fantasy
10202339	Rosal vivo high and rich
10202340	Rosal vivo hot lady
10202341	Rosal vivo hot princess
10202342	Rosal vivo inspiration
10202343	Rosal vivo jeimy
10202344	Rosal vivo kachita
10202345	Rosal vivo karen
10202346	Rosal vivo kenji
10202347	Rosal vivo kiko
10202348	Rosal vivo laser
10202349	Rosal vivo latin duett
10202350	Rosal vivo latin fever
10202351	Rosal vivo lifestyle
10202352	Rosal vivo light orlando
10202353	Rosal vivo lovely dreams
10202354	Rosal vivo loyalty
10202355	Rosal vivo malibu
10202356	Rosal vivo mata-hari
10202357	Rosal vivo memphis
10202358	Rosal vivo mi amor
10202359	Rosal vivo miami
10202360	Rosal vivo michelle
10202361	Rosal vivo mikaela
10202362	Rosal vivo orchestra
10202363	Rosal vivo orlando
10202364	Rosal vivo osadia
10202365	Rosal vivo paeonia freelander
10202366	Rosal vivo paula
10202367	Rosal vivo pavarotti
10202368	Rosal vivo pink intuition
10202369	Rosal vivo poison
10202370	Rosal vivo princess
10202371	Rosal vivo queen mary
10202372	Rosal vivo raphaela
10202373	Rosal vivo raspberry ice
10202374	Rosal vivo ravel
10202375	Rosal vivo riviera
10202376	Rosal vivo sade
10202377	Rosal vivo sashimi
10202378	Rosal vivo shanya
10202379	Rosal vivo shocking versilia
10202380	Rosal vivo solitaire
10202381	Rosal vivo something different
10202382	Rosal vivo splendid renate
10202383	Rosal vivo star
10202384	Rosal vivo sweet candia
10202385	Rosal vivo sweet moments
10202386	Rosal vivo sweet unique
10202387	Rosal vivo taboo
10202388	Rosal vivo timona
10202389	Rosal vivo topaz
10202390	Rosal vivo vogue
10202391	Rosal vivo voila
10202392	Rosal vivo wild one
10202393	Rosal vivo yves piaget
10202400	Rosales vivos rojos o burgundy
10202401	Rosal vivo african dawn
10202402	Rosal vivo amada
10202403	Rosal vivo black baccara
10202404	Rosal vivo black beauty
10202405	Rosal vivo black finess o black magic
10202406	Rosal vivo black magic
10202407	Rosal vivo bohemian o pasarela
10202408	Rosal vivo breathless
10202409	Rosal vivo caballero
10202410	Rosal vivo carrera
10202411	Rosal vivo charlene
10202412	Rosal vivo charlotte
10202413	Rosal vivo cherry lady
10202414	Rosal vivo cherry love
10202415	Rosal vivo classy rose
10202416	Rosal vivo colorado velvet
10202417	Rosal vivo corazon
10202418	Rosal vivo corrida
10202419	Rosal vivo dynamite
10202420	Rosal vivo eurored
10202421	Rosal vivo fashion
10202422	Rosal vivo fire and ice
10202423	Rosal vivo first red
10202424	Rosal vivo forever young
10202425	Rosal vivo freedom
10202426	Rosal vivo freestyle
10202427	Rosal vivo friendship
10202428	Rosal vivo gospel
10202429	Rosal vivo graffity
10202430	Rosal vivo grand gala
10202431	Rosal vivo grand prix
10202432	Rosal vivo grand classe
10202433	Rosal vivo hearts
10202434	Rosal vivo heat
10202435	Rosal vivo hocus pocus
10202436	Rosal vivo lady in red
10202437	Rosal vivo latin lady
10202438	Rosal vivo legend
10202439	Rosal vivo lulu
10202440	Rosal vivo luna rossa
10202441	Rosal vivo luxor
10202442	Rosal vivo madame delbard o carola
10202443	Rosal vivo miss paris
10202444	Rosal vivo nicole
10202445	Rosal vivo night fever
10202446	Rosal vivo obsession
10202447	Rosal vivo opium
10202448	Rosal vivo paz
10202449	Rosal vivo preference
10202450	Rosal vivo red berlin
10202451	Rosal vivo red bull
10202452	Rosal vivo red calypso
10202453	Rosal vivo red diamond
10202454	Rosal vivo red fantasy
10202455	Rosal vivo red france
10202456	Rosal vivo red intuition
10202457	Rosal vivo red jewel
10202458	Rosal vivo red magic
10202459	Rosal vivo red one
10202460	Rosal vivo red paris
10202461	Rosal vivo red princess
10202462	Rosal vivo red sensation o colorad
10202463	Rosal vivo red unique
10202464	Rosal vivo rockefeller
10202465	Rosal vivo romeo
10202466	Rosal vivo rouge baiser
10202467	Rosal vivo roulette
10202468	Rosal vivo royal massai
10202469	Rosal vivo royal red
10202470	Rosal vivo samurai
10202471	Rosal vivo sexy red
10202472	Rosal vivo starfire
10202473	Rosal vivo tango
10202474	Rosal vivo tiger tail
10202475	Rosal vivo tinto
10202476	Rosal vivo top secret
10202477	Rosal vivo vital
10202478	Rosal vivo wisdom
10202479	Rosal vivo xantia
10202480	Rosal vivo xcite
10202500	Rosales vivos sweetheart
10202501	Rosal vivo burgundy sweetheart
10202502	Rosal vivo cream sweetheart
10202503	Rosal vivo hot pink sweetheart
10202504	Rosal vivo lavender sweetheart
10202505	Rosal vivo light pink sweetheart
10202506	Rosal vivo orange sweetheart
10202507	Rosal vivo peach sweetheart
10202508	Rosal vivo red sweetheart
10202509	Rosal vivo white sweetheart
10202510	Rosal vivo yelllow sweetheart
10202600	Rosales vivos blancos
10202601	Rosal vivo absolut
10202602	Rosal vivo aida
10202603	Rosal vivo akito
10202604	Rosal vivo amelia
10202605	Rosal vivo anastasia
10202606	Rosal vivo andean crystal
10202607	Rosal vivo angel
10202608	Rosal vivo annemarie
10202609	Rosal vivo avalanche
10202610	Rosal vivo bianca
10202611	Rosal vivo blizzard
10202612	Rosal vivo bridal akito
10202613	Rosal vivo domenica
10202614	Rosal vivo escimo
10202615	Rosal vivo farfalla
10202616	Rosal vivo high and peace
10202617	Rosal vivo high and pure
10202618	Rosal vivo inocencia o innocenti
10202619	Rosal vivo ivory
10202620	Rosal vivo mondial
10202621	Rosal vivo mount everest
10202622	Rosal vivo nova zembla
10202623	Rosal vivo patience o auspator
10202624	Rosal vivo polar star
10202625	Rosal vivo polo
10202626	Rosal vivo proud
10202627	Rosal vivo snowy jewel
10202628	Rosal vivo tibet
10202629	Rosal vivo tineke
10202630	Rosal vivo vitality
10202631	Rosal vivo white cadillac
10202632	Rosal vivo white dove
10202700	Rosales vivos amarillos
10202701	Rosal vivo aalsmeer gold
10202702	Rosal vivo alina
10202703	Rosal vivo ambiance
10202704	Rosal vivo aquarel
10202705	Rosal vivo autumn
10202706	Rosal vivo brasil
10202707	Rosal vivo candle light
10202708	Rosal vivo cantata o cantate
10202709	Rosal vivo capriccio
10202710	Rosal vivo caribbean
10202711	Rosal vivo circus
10202712	Rosal vivo citran
10202713	Rosal vivo concorde
10202714	Rosal vivo conga
10202715	Rosal vivo deja vu
10202716	Rosal vivo desire
10202717	Rosal vivo donia sol
10202718	Rosal vivo dueto
10202719	Rosal vivo erin
10202720	Rosal vivo exotic curiosa
10202721	Rosal vivo feria
10202722	Rosal vivo fire bird
10202723	Rosal vivo florida
10202724	Rosal vivo friendly
10202725	Rosal vivo gallinda
10202726	Rosal vivo geisha
10202727	Rosal vivo gelbe
10202728	Rosal vivo gelosia o yellow flame
10202729	Rosal vivo gold rush
10202730	Rosal vivo gold star
10202731	Rosal vivo gold strike
10202732	Rosal vivo golda
10202733	Rosal vivo golden fashion
10202734	Rosal vivo golden gate
10202735	Rosal vivo gran dorado
